Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
32.46,864.674408966553,-8.60895516933035,0.0306733219653948,0.000319460879547794,-0.00290739140257882,-0.00458004924993253,0.00124673330250241,-0.00511340169807751,3.60747532436589e-08,3.6167753670463e-08,2.05416100587663e-08,2.09007677068329e-08
32.47,864.931730938048,-8.60855605493188,0.0306995547067747,0.000290150606090255,-0.00294950868104333,-0.00397391038982441,0.00124841268791662,-0.00511049759840301,3.60793606796195e-08,3.61415497356077e-08,2.04996272179514e-08,2.08309507490623e-08
32.48,865.188960991425,-8.6081642430471,0.030726385434342,0.000260453118209486,-0.00298546396283948,-0.00336634661909109,0.00125011528411615,-0.00510697223564936,3.60831812797058e-08,3.61171058442522e-08,2.0461868425331e-08,2.07641470129083e-08
32.49,865.446099138976,-8.6077798152826,0.0307535873215828,0.000230430411455341,-0.00301517972112535,-0.00274925605793215,0.00125182948385154,-0.00510260752787521,3.60866720776343e-08,3.60937843675579e-08,2.04284659986731e-08,2.06985247795666e-08
32.5,865.703145394528,-8.6074028396638,0.0307809428807645,0.000200144756777118,-0.00303870322527597,-0.00214248818110252,0.00125354433074062,-0.00509771701777985,3.60888754435962e-08,3.60717211517203e-08,2.0398990840248e-08,2.06343198118353e-08
32.51,865.960099773441,-8.607033370694,0.0308083570741881,0.00016965783843819,-0.00305606618940411,-0.00153640612550561,0.00125525379519672,-0.00509208814505519,3.60902516066686e-08,3.60502161803056e-08,2.03734210196815e-08,2.60211152347534e-08
32.52,866.216962292643,-8.60667144825408,0.0308357223668663,0.000139030620107731,-0.00306740751030318,-0.000949131380083503,0.00125695166409908,-0.0050860253054201,3.60899270572534e-08,3.60293689570523e-08,2.31166049913245e-08,2.32921658870067e-08
32.53,866.473732970628,-8.60631709810415,0.0308630294743502,0.0001083226260325,-0.00307284027213053,-0.000370307265933418,0.00125863573396305,-0.00507932020948722,3.60884298278297e-08,3.60084792330739e-08,2.30863673490733e-08,2.3222669991857e-08
32.54,866.73041182746,-8.60597033122259,0.0308902364817842,7.75919086527399e-05,-0.00307257261608842,0.000183313845928041,0.00126030284782335,-0.0050722677562332,3.60849419060727e-08,3.59876348339505e-08,2.30646019401537e-08,2.31570229589084e-08
32.55,866.986998884739,-8.60563114467734,0.0309173772751856,4.68944385294629e-05,-0.00306677896694657,0.000722504389414899,0.00126195299739794,-0.00506466320496405,3.60800173314357e-08,3.59661652647725e-08,2.3046804607102e-08,2.30951372054422e-08
32.56,867.243494165581,-8.60529952130618,0.0309444427702789,1.62841218905918e-05,-0.00305572548275616,0.00123088901998894,0.00126358482304577,-0.00505679201286168,3.60728585856174e-08,3.59442446744296e-08,2.30310827943614e-08,2.30375580487219e-08
32.57,867.499897694538,-8.60497543083524,0.0309714798034392,-1.4187746608732e-05,-0.00303963251320253,0.00172124794764637,0.00126519933040957,-0.00504845261143203,3.60641141117224e-08,3.59211407181814e-08,2.30186245724073e-08,2.29840581428276e-08
32.58,867.756209497546,-8.60465882998625,0.0309984584950627,-4.44722565786815e-05,-0.00301878663076802,0.00217950412791477,0.00126679482603355,-0.00503992126644633,3.60530988292862e-08,3.58970439866269e-08,2.30085477094522e-08,2.29350152584906e-08
32.59,868.012429601831,-8.60434966392017,0.0310253865360482,-7.45232737450111e-05,-0.00299342633520206,0.00261750198132473,0.00126837125140333,-0.00503099938117244,3.60403706115009e-08,3.5871396165954e-08,2.30007954037104e-08,2.28901993748476e-08
32.6,868.26855803583,-8.60404786645992,0.0310521943734583,-0.000104297243273511,-0.00296385637887879,0.00302181477412847,0.0012699258055577,-0.00502195433524473,3.60252847310394e-08,3.58444091422272e-08,2.29948467385388e-08,2.28498471116501e-08
32.61,868.524594829085,-8.60375336161106,0.0310788516482514,-0.000133753521190116,-0.00293031380298208,0.00341362424510129,0.00127145729303752,-0.00501259029027076,3.59756558675206e-08,3.58169768358008e-08,2.29922042793707e-08,2.28132178460572e-08
32.62,868.780540012481,-8.60346606259907,0.0311055004894863,-0.000162853068475685,-0.00289294400122794,0.00377620969933709,0.00127297015529808,-0.00500315007877153,3.59442682840161e-08,3.57931240410614e-08,2.29991966027576e-08,2.27799818314223e-08
32.63,869.036393618329,-8.60318587303552,0.0311320373715384,-0.000191559863756106,-0.0028521669519263,0.00410087587515867,0.00127446149618087,-0.00499342284916882,3.59540817326809e-08,3.57611320001006e-08,2.29997732664744e-08,2.27524429158299e-08
32.64,869.292155680168,-8.60291268837011,0.0311584162340005,-0.000219841714770988,-0.00280830866769508,0.00439714474121717,0.00127593073121473,-0.0049836695472655,3.59492242363313e-08,3.57284185674434e-08,2.30016438812486e-08,2.2728127668098e-08
32.65,869.547826232409,-8.60264639694377,0.0311845002712195,-0.000247669568645499,-0.00276171489983888,0.00465278927207737,0.00127737278189304,-0.0049737199045645,3.59408487068946e-08,3.55953893790839e-08,2.30016377784914e-08,2.27199316894799e-08
32.66,869.803405310409,-8.60238688229151,0.0312101096871166,-0.000275017453628447,-0.00271256123125713,0.00490935214354786,0.00127878106002729,-0.00496385188511399,3.59164979389648e-08,3.56341503630897e-08,2.30041880960874e-08,2.27026791116414e-08
32.67,870.058892948692,-8.60213402629763,0.0312314281147766,-0.00030186843424966,-0.00266709990968547,0.00126691020405704,0.00128001421566616,-0.00495390927711203,-1.48305761143996e-08,3.02549368301486e-08,2.3166571216926e-08,2.25989219664047e-08
32.68,870.314289117498,-8.60188828833507,0.0311541956915646,-0.000328682159566575,-0.00270019453226997,-0.00460094352685578,0.00127746865037654,-0.00494497059976377,2.46429627086264e-08,3.84576703815753e-08,2.2896857729271e-08,2.25967634430446e-08
32.69,870.569593916034,-8.60165019568116,0.0310894897310824,-0.000355924390679747,-0.00274394906389271,-0.0044505194219231,0.00127543431724116,-0.00493573349904077,3.54880675193514e-08,3.65039469762962e-08,2.30145554037942e-08,2.26626487229153e-08
32.7,870.824807377354,-8.60141948535237,0.0310668947608273,-0.000383592360377967,-0.00278516570794116,-0.00409520173039396,0.00127505431170745,-0.00492487061685939,3.53218130161315e-08,3.6139447368716e-08,2.29885774478966e-08,2.27655115106473e-08
32.71,871.07992953829,-8.60119586762904,0.0310796367000653,-0.00041165003762399,-0.00282205554838426,-0.0035814552928299,0.00127605945093673,-0.00491265374821254,3.53104370708068e-08,3.58964857630206e-08,2.29394295434004e-08,2.27414417505734e-08
