Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
22.84,0.8,46.6826489857458,2704.56514948095,7681.65059326354,0.8,1128.58684932168,717.545420681545,2643.04381595935,0.8,1459.58345575341,2831.28115781259,7782.06898088888,0.8,1617.08995245363,1110.84114206827,3180.70030102964,1.04210844480465,2.80918243331584,0.00776538932520297,0.000191479309365198,0.0116643982647608,0.00607144104079067,-0.0104146708120392,-0.0189487235516212,-0.014673646519933,-0.0210759690258031
22.85,0.8,88.2340523954316,220.416146080839,7253.73506193188,0.8,919.443954468064,-477.51977287399,2809.34514689943,0.8,1416.86975676872,2851.13207318967,7708.79650124733,0.8,1619.13777694173,1153.45682255226,3278.46784223817,0.971903756100051,1.33404600771239,0.00694373956481867,0.000321139244109017,0.0113535860262153,0.00590386269609948,0.00790677376813431,-0.000783190470374914,-0.014931453343953,-0.0212946251158169
22.86,0.8,134.489337512134,-1892.70843271221,6755.83831369122,0.8,919.641650398551,-1596.4691053908,3058.28813058951,0.8,1368.2684306775,2881.46813122266,7552.67748294638,0.8,1615.24348213135,1218.10879110251,3419.1503064548,0.926284918083249,0.00116132509355227,0.00800055445163721,0.000527253350499084,0.0108759934691342,0.00571291340260086,0.0232124096192845,0.0144655392816635,-0.015184217148696,-0.0215250241516334
22.87,0.8,188.139483949788,-3342.45476577015,6244.3123488689,0.8,868.687331403058,-2511.62807001804,3362.47748630754,0.8,1314.97988175521,2894.47790983156,7318.35512727469,0.8,1572.34414508994,1278.42566380881,3574.26684810541,0.816557669888034,-0.993700379911104,0.00986909895850224,0.00091780898883461,0.0100392486102579,0.0054894377262105,0.0352673489590528,0.0265419192237936,-0.0152061549250919,-0.0215499873333805
22.88,0.8,239.435476520403,-4111.82458563226,5758.35963544141,0.8,871.61487385872,-3146.34676681198,3675.35721551216,0.8,1255.41859246445,2855.83449380066,7022.26662743702,0.8,1513.84399979068,1315.01166684238,3748.50153759389,0.721992963450967,-1.63562747867548,0.0115215294498312,0.0015523216390879,0.00918095728561666,0.00524895529394125,0.0441980039336953,0.0355300535080168,-0.0148327985597414,-0.0211949248335012
22.89,0.8,283.313635339024,-4392.47819433559,5322.30808894675,0.8,873.191166135815,-3573.05926399429,3958.25659161535,0.8,1194.47010648927,2734.3428902444,6690.71691638383,0.8,1464.93088761671,1316.29901082878,3956.2064700103,0.645307057191641,-2.04758525266471,0.0124804573177486,0.00236350150200318,0.00834678662239284,0.00503363199695018,0.0506204153028771,0.0420155998536049,-0.0139823143237017,-0.0203633110134618
22.9,0.8,325.087783778334,-4405.5432426436,4959.13149820521,0.8,876.460075031798,-3891.94387789128,4225.70905079378,0.8,1129.10921868356,2537.31072098602,6351.44209473855,0.8,1406.59778269154,1272.29330973463,4195.22804062481,0.57596454128159,-2.34340277962079,0.0129800386761963,0.00324614555717265,0.00748721208357191,0.00480037478254435,0.0549892896098049,0.0464638860884126,-0.0126399678080682,-0.019042140296893
22.91,0.8,362.984475444426,-4294.69229959431,4647.5752501467,0.8,873.913243620629,-4169.63613945442,4501.58082923929,0.8,1065.19733893844,2274.65361278337,6002.72196568734,0.8,1365.09597039144,1172.44300748245,4464.17733944427,0.522471779738716,-2.62692080192355,0.0128808326514598,0.00413715847358249,0.00679145431654493,0.00456911901244909,0.0577675560264529,0.0493065658776202,-0.010827341525801,-0.017270765346171
22.92,0.8,399.737956846395,-4110.6206296495,4362.69416523325,0.8,867.146487032816,-4437.30397489268,4800.91838967002,0.8,1001.7533472174,1959.77397850496,5648.30166685372,0.8,1328.18917707821,1009.66857201393,4758.89380539809,0.479491837194105,-2.92607735744481,0.012195579195857,0.00498484794792957,0.00618212947298999,0.00435009029641524,0.0589117524046929,0.0504896021710855,-0.00859274600020067,-0.0150971202320221
22.93,0.8,437.505860115537,-3888.99130614752,4102.60462258694,0.8,854.58421512111,-4703.05373693398,5125.82584049172,0.8,938.248974549138,1607.34938747977,5294.00738564156,0.8,1291.98619777438,779.973430189422,5072.76568298897,0.44223889668586,-3.24525620269214,0.011080284333919,0.00575995293261786,0.00566069444900407,0.00414731406036396,0.0587016325216401,0.0503069929783156,-0.00600248750768404,-0.0125819843239524
