Time,e_y,e_yaw,e_yawrate,e_beta
33.38,0.0118406320059048,-0.00117841173124869,0.00230537219376662,-0.000144136091724568
33.39,0.0115217807540464,-0.00115543656458315,0.00225788447081842,-0.000140247272029539
33.4,0.0112096906678101,-0.0011330446221602,0.00221184628998048,-0.000136498805649461
33.41,0.010903994706883,-0.00111099953966517,0.00216716415736454,-0.00013289021540182
33.42,0.0106047497445516,-0.00108950977746967,0.00212376683319663,-0.000129423074140392
33.43,0.0103116121937941,-0.00106834114771512,0.0020816368498515,-0.000126097480333635
33.44,0.0100246287336407,-0.00104770198848531,0.00204072058691425,-0.000122914158052608
33.45,0.00974347750345572,-0.00102735964757668,0.00200100882588297,-0.000119870483484843
33.46,0.0094681985822973,-0.0010075213112111,0.00196263461275046,-0.000116953379493587
33.47,0.0091984957379001,-0.000987954642269313,0.00192539071518385,-0.000114156638081978
33.48,0.0089343305962668,-0.000968759465958059,0.00188905610153898,-0.000111471999797688
33.49,0.00867565408230853,-0.000950036425836798,0.00185350030206867,-0.000108893046376055
33.5,0.00842220491569101,-0.000931558236297322,0.00181895633463148,-0.00010640279358828
33.51,0.00817401344691326,-0.000913532494861055,0.001785357684311,-0.00010399930561801
33.52,0.00793083909767489,-0.000895732946922267,0.00175256914772943,-0.000101683943805242
33.53,0.00769270916575238,-0.000878369304805261,0.0017204284167169,-9.94583365257525e-05
33.54,0.00745939496371584,-0.000861218592032717,0.00168886694807334,-9.73198376013707e-05
33.55,0.00723091524206154,-0.000844491829573653,0.00165781721979835,-9.52653097118969e-05
33.56,0.00700705492744369,-0.000827967534622265,0.00162727625908882,-9.32891139277963e-05
33.57,0.0067878271647146,-0.000811856809151177,0.00159720649270607,-9.13869727322876e-05
33.58,0.00657303043033508,-0.000795938988816571,0.0015676124260308,-8.9553211318201e-05
33.59,0.00636267322900785,-0.000780425114022154,0.00153845531945176,-8.7783930320504e-05
33.6,0.00615656713293333,-0.000765095277535113,0.00150973805013811,-8.60738701194861e-05
33.61,0.00595471689599414,-0.000750160512479991,0.0014814225297516,-8.44194744881089e-05
33.62,0.00575694659342396,-0.000735401598310383,0.00145351450744599,-8.28157708172395e-05
33.63,0.00556325800129187,-0.000721029537161614,0.00142597991945804,-8.12594873569019e-05
33.64,0.00537348695096718,-0.000706825669674717,0.00139882881178079,-7.97459709985775e-05
33.65,0.00518763283021784,-0.000693000915165381,0.00137203178649205,-7.82723188169745e-05
33.66,0.00500554232221972,-0.000679336971126909,0.00134561815538859,-7.68338149082549e-05
33.67,0.00482721307773915,-0.000666044471722853,0.00131956000777055,-7.54271498900163e-05
33.68,0.00465250196740818,-0.00065290542758422,0.00129386633676224,-7.40475319555721e-05
33.69,0.00448140539219644,-0.000640130481929448,0.00126850265889346,-7.26920470975746e-05
33.7,0.00431378917969205,-0.000627502102852394,0.0012434811820634,-7.13568456259723e-05
33.71,0.00414964798376438,-0.000615231134528164,0.00121872359286026,-7.004070254567e-05
33.72,0.00398885356941925,-0.000603101213596349,0.00119418688108405,-6.87460889168887e-05
33.73,0.00383139631587603,-0.000591323736615432,0.00116993267698447,-6.74739027965802e-05
33.74,0.00367715241783806,-0.000579681563475614,0.00114601175853971,-6.62255417702947e-05
33.75,0.00352608406567256,-0.00056827799663152,0.0011225004375623,-6.49992053552932e-05
33.76,0.00337814948007775,-0.000557215587910398,0.00109929427087117,-6.37967898059697e-05
33.77,0.0032332341156156,-0.000546278440004,0.00107639029105121,-6.26144274981042e-05
33.78,0.00309132258154499,-0.000535676178886194,0.00105381697733298,-6.144771766399e-05
33.79,0.00295230925561896,-0.000525192237121401,0.00103163657906009,-6.0290423817665e-05
