Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
43.94,1164.14170010998,-6.58084560667999,0.0551577550397192,0.145786692986851,-0.28122539035433,-0.587586757570835,0.00234732382920192,-0.038720080729872,164.014910257724,23.0639500109986,205.716238746335,26.9019718636615
43.95,1164.41668133572,-6.54001700740584,0.0959829721997016,0.142944175138001,-0.286586805428416,-0.494700007521115,0.00383972863038825,-0.0386573723437019,163.343228625609,23.5710531907694,203.028889694241,27.7206620335861
43.96,1164.69172902105,-6.49957498467295,0.135139313334509,0.140053119523408,-0.291037191119915,-0.408008526040986,0.00527209173184434,-0.038461027248715,162.650572183511,24.0472728579862,200.472887857062,28.4899448780457
43.97,1164.96684506811,-6.45954875233981,0.172567189088902,0.137122027835037,-0.29469411048108,-0.334015583831637,0.00664232181988861,-0.0382774447072586,161.913820033915,24.5213140895291,197.768526054016,29.2696436610448
43.98,1165.24203095208,-6.4199660299737,0.208197427167267,0.134158014657227,-0.297708165453914,-0.275105543675048,0.00794775745489222,-0.0382444597530457,160.75611215979,24.875180180421,194.732947971323,29.9328073436129
43.99,1165.51728773849,-6.38085323166647,0.242063903462939,0.131167243603709,-0.300104944060319,-0.213085393857683,0.00918925032248844,-0.0380384846704152,159.449582735151,25.1850692022491,192.065097355704,30.6361659705707
44,1165.7926161505,-6.34223440143129,0.27422855038309,0.128155900886915,-0.301889533797175,-0.15404262640903,0.010368567105427,-0.0378159832625494,157.814419560386,25.5417885215827,189.786303435165,31.486294750613
44.01,1166.06801672072,-6.30413219987198,0.304617325120808,0.125129610330697,-0.303161068150128,-0.105928508957616,0.0114827453211394,-0.0377482185275849,155.938216945816,26.0360559669405,187.675851085846,32.5750486272257
44.02,1166.3434898356,-6.2665680873109,0.333313363171134,0.122093463531255,-0.303908097924775,-0.0530523130118725,0.0125341876450657,-0.0375164400649697,154.101996718983,26.5273470340997,185.795219665202,33.715670425957
44.03,1166.61903566369,-6.22956112098186,0.360399859523901,0.119052656233766,-0.304150726464173,-0.00437745233792943,0.0135253995607105,-0.0372903586361166,152.289619512412,27.0883191377839,183.988753021444,34.9910060615803
44.04,1166.89465415119,-6.193128722025,0.38588638854714,0.116011836328364,-0.303964423252756,0.0360500168462891,0.0144564210768943,-0.0372290460356406,150.311228990255,27.7643355082199,182.308992390459,36.4842557907889
44.05,1167.17034509338,-6.15728662882795,0.409898919791892,0.112975191839351,-0.303359542817599,0.0767946600870373,0.0153314607653645,-0.0370171130868179,148.114349027089,28.4388878897146,181.095578128892,37.9903650446853
44.06,1167.44610811196,-6.12204829984062,0.432498285329723,0.109946570001452,-0.302406641745075,0.108976149359825,0.0161527594296876,-0.0369594367954693,145.696181642621,29.2311676496614,180.063461671245,39.6590957928826
44.07,1167.72194270963,-6.08742553960686,0.453803938149344,0.106929345570464,-0.301113783362549,0.142442582638763,0.0169246194840065,-0.0367467079209615,143.308586377178,30.0244944262392,179.223076848849,41.3245204655011
44.08,1167.99784823692,-6.05342776189186,0.473943560427801,0.103926816124789,-0.299505025698327,0.172583249696637,0.0176516998128318,-0.0365342093157239,141.036259540593,30.8706857563865,178.330937619001,43.0499650839623
44.09,1168.27382387176,-6.02006268412917,0.492953957004807,0.10094181177793,-0.297644797903967,0.195155358206702,0.018335654217991,-0.0364668914798481,138.760291595977,31.8102650621731,177.38038734773,44.887235291087
44.1,1168.54986862611,-5.9873367331925,0.510926725929034,0.0979767256058197,-0.295546046722503,0.218212848842783,0.0189801438776617,-0.0362426236675176,136.628670115068,32.7458817383145,176.439394447673,46.6704585629435
44.11,1168.82598138195,-5.95525451172956,0.527952876375923,0.0950337908016939,-0.293243457946417,0.236337557809766,0.0195887622172834,-0.0360083847803183,134.557765128308,33.7311456469945,175.459707803211,48.4483041923336
44.12,1169.10216089125,-5.92381948949459,0.544047732607659,0.0921146604231666,-0.290809105638891,0.247073811575986,0.0201624581249348,-0.0358944818406955,132.488077274397,34.8008380528909,174.3956406604,50.2730413280171
44.13,1169.37840582371,-5.8930343380878,0.559288111672486,0.0892205666343263,-0.288246455392438,0.260104436316848,0.0207043171272872,-0.0356018978821881,130.502493693643,35.8739071615267,173.362516575104,52.00844299362
44.14,1169.65471476682,-5.86290050690117,0.573714059858344,0.0863526751806725,-0.285586591071373,0.267784028785076,0.0212161115222458,-0.035401584030706,128.523891790515,37.0302926543659,172.237899057227,53.7631636306728
44.15,1169.93108625,-5.83341880797166,0.587378029721791,0.0835118956217964,-0.282832320398867,0.277065600969396,0.0216999952004585,-0.0350213749939696,126.645327625356,38.2032002436939,171.11369832256,55.4146667941236
44.16,1170.20751875898,-5.80458912763864,0.600317936617205,0.0806991315825274,-0.279996565318841,0.28374737184855,0.0221576332586759,-0.03459616160481,124.878463466707,39.4521250645726,169.8785381422,56.9950085165066
44.17,1170.48401072503,-5.77641102786014,0.612515799507449,0.0779149613096217,-0.277124132217809,0.285785719215244,0.0225886067104385,-0.0342464809980979,123.220282689511,40.7962904013387,168.459075468617,58.5610899794432
44.18,1170.76056054255,-5.74888390965015,0.62400783118769,0.075159746185197,-0.27420724318487,0.290453113894022,0.0229943268502946,-0.0337086605562686,121.688076579857,42.1650873132959,166.994410019644,60.0175177886615
44.19,1171.03716658005,-5.72200665952019,0.634802051322906,0.0724338610261592,-0.271266033681217,0.291583009803024,0.0233752154062293,-0.0332255143079369,120.193622619671,43.6137683986113,165.424527648715,61.4589569594051
44.2,1171.31382719445,-5.69577798597324,0.644930934566743,0.0697375851496049,-0.268285045228183,0.296271326129459,0.0237325009085068,-0.0325561857052679,118.791797482885,45.0842684967313,163.842231767068,62.8048770771817
44.21,1171.59054074904,-5.6701961999122,0.654390478439038,0.0670713251353319,-0.265269000575989,0.299171236930508,0.0240660970234372,-0.0319318097657522,117.417788431787,46.6249778280325,162.180620083475,64.142080056692
44.22,1171.86730561918,-5.64525956933498,0.663196051091295,0.0644355311668242,-0.262192676193314,0.30615186132436,0.0243765549834174,-0.0311323577601904,116.125753054617,48.1810703622071,160.51617433422,65.400979018257
44.23,1172.14412021201,-5.6209659418195,0.67136016184725,0.061830955950703,-0.259031724028939,0.31488676163463,0.0246643072320747,-0.0302789298940163,114.880532398701,49.7726284213874,158.820312218464,66.6256182840308
44.24,1172.4209829444,-5.59731310214947,0.678841690744818,0.0592584258593205,-0.255793250217172,0.322270170395165,0.0249278818735245,-0.029478857360898,113.659256578033,51.4101713072025,157.069650243274,67.8569712085152
44.25,1172.69789225743,-5.57429893290402,0.68563408849757,0.0567188278601443,-0.252450366947528,0.333763978333743,0.0251669983869876,-0.0285339546213943,112.504781582182,53.0426728040411,155.326023717908,69.0379697501072
44.26,1172.97484662496,-5.55192109755262,0.691707905198829,0.0542132752729802,-0.248996586447962,0.344486490686443,0.0253805683800576,-0.027643280963524,111.364873406956,54.6993816797214,153.544995001703,70.2348740159656
44.27,1173.25184454626,-5.53017726578071,0.697052689199492,0.0517430093104247,-0.245401247624762,0.359802170870408,0.0255681500498599,-0.0266313677488654,110.278405338309,56.3345010828351,151.782177102237,71.4011676975296
44.28,1173.52888455268,-5.50906484511921,0.701631562142119,0.049309514670976,-0.241657853838892,0.374525794067448,0.0257283717351216,-0.0256828738287299,109.199525601208,57.9723576049082,149.999322067118,72.5941383964199
44.29,1173.80596520767,-5.48858124119041,0.705423312325324,0.0469143849737574,-0.237741034330807,0.392719448845538,0.0258603614499629,-0.0246390250217884,108.131629429156,59.5731787156261,148.27488500633,73.7717530607333
44.3,1174.08308511483,-5.46872367039847,0.708374727661012,0.044559358370876,-0.23365660651387,0.408978518857312,0.0259621813132436,-0.0236660652172018,107.04444743774,61.1586356551413,146.566826705624,74.9810715651478
44.31,1174.36024291277,-5.44948934851499,0.710468318651706,0.0422462108848469,-0.22937990981333,0.428965559833638,0.0260331419611211,-0.0226182706964626,105.990217414579,62.6891466603025,144.881744834514,76.1805774125646
44.32,1174.63743726719,-5.43087514288729,0.711663890166783,0.0399768970925631,-0.224910279599557,0.44805945666484,0.0260717551535104,-0.0216474930501019,104.904997834163,64.1363041564028,143.122043563409,77.3528786023241
44.33,1174.91466684923,-5.41287783821921,0.7119309848096,0.0377533880522653,-0.220237209958568,0.468912013109892,0.0260768312669194,-0.0206291466829151,103.868152947444,65.4886445268242,141.3899068072,78.5734793835362
44.34,1175.19193036758,-5.39549398391447,0.711228141229468,0.0355777074711977,-0.215364552855419,0.48908400344345,0.0260467965094858,-0.0196949644868109,102.849822835851,66.6942267492215,139.663903414772,79.9381042061328
44.35,1175.46922655655,-5.37871987211353,0.709547963308905,0.0334519621300745,-0.210268947896802,0.512004700573718,0.0259813323685923,-0.0187351963791433,101.870453775251,67.7911201791746,137.971250577191,81.3589772433752
44.36,1175.74655420316,-5.36255130884472,0.70685998969443,0.031378402940036,-0.204951870366834,0.533476384378242,0.0258793004821859,-0.0178253844616886,100.913241847112,68.8303972367121,136.305205965384,82.8055617105866
44.37,1176.02391212593,-5.34698402017203,0.703097323129885,0.0293590350043793,-0.199455507895961,0.549948630361839,0.0257382958541588,-0.0170174747625463,99.972082105366,69.8317506503739,134.65692638541,84.267977378228
44.38,1176.30129917295,-5.33201381633018,0.698224888879863,0.0273955128223657,-0.193800891805627,0.565054192177492,0.0255570226107823,-0.0162086502602475,99.0615848726537,70.8123803605874,133.043356991016,85.6874708188236
44.39,1176.57871422004,-5.31763629194679,0.692223791127559,0.0254892280150199,-0.188027465048441,0.5751513800804,0.0253347568423878,-0.0154821764149618,98.1587876177855,71.8571969917787,131.455157224922,87.0022683254879
44.4,1176.85615616881,-5.30384673106773,0.68511752165958,0.0236412414974038,-0.182151892202499,0.585167628717505,0.0250723241865888,-0.0147489732037642,97.2759712769281,72.8791134551587,129.90737649781,88.2664626251665
44.41,1177.1336239527,-5.29063990133976,0.676914086937059,0.0218524593584646,-0.176198837291068,0.591972403121861,0.024770001938047,-0.0140809035001753,96.3981973964666,73.8428665507302,128.391222725043,89.5312531392282
44.42,1177.41111654084,-5.27801029555471,0.66763310832182,0.0201235839686273,-0.17017811415636,0.598412307970973,0.0244284734505645,-0.0134072640590042,95.535351985964,74.7293669075469,126.916381578061,90.7925381251705
44.43,1177.68863294993,-5.26595195560184,0.65729828397843,0.0184551739545714,-0.164114066273806,0.601955056049979,0.0240485910252596,-0.0127917546390231,94.6779346761188,75.545933443453,125.4753586364,92.0550317961859
44.44,1177.96617223899,-5.25445850559524,0.645952962670218,0.0168476317560574,-0.158007729268409,0.606358875744771,0.0236318986114591,-0.012174915973946,93.8312093030416,76.2921731404446,124.075216344328,93.3017706464748
44.45,1178.24373351196,-5.24352303501301,0.63362733696059,0.0153013082075863,-0.151877217550255,0.607726656422959,0.0231794954081325,-0.0116148374268752,92.9861489137981,76.9729527612331,122.712058430971,94.533444166323
44.46,1178.52131591105,-5.2331382393228,0.62036885324757,0.0138163133314056,-0.145746987206707,0.606180899233404,0.0226931154266164,-0.0110649095133053,92.1485955447967,77.5849167631824,121.385885697687,95.7402854743642
44.47,1178.79891861579,-5.22329618985987,0.606244234171756,0.0123923970751354,-0.139662709335991,0.600456008170957,0.0221752095588302,-0.0105642587950633,91.3176740872881,78.1312220011532,120.088622533213,96.9195433833144
44.48,1179.07654085209,-5.21398837398584,0.591332240444501,0.0110290312832731,-0.133631360896614,0.59508301662142,0.0216286150711918,-0.0100612691583201,90.4815911612956,78.6144606957808,118.832546171074,98.0603876904025
44.49,1179.3541818928,-5.20520564101571,0.575702231881945,0.00972562793613024,-0.12766603346588,0.587917277063957,0.0210558655611279,-0.0095933665497925,89.6335098982227,79.0370474276429,117.619360281839,99.1579972794305
